animeTitle	Li Shi
animeType	ONA
animeNumEpisode	16
releaseDate	2020-05-07 00:00:00
endDate	2020-08-13 00:00:00
animeNumMembers	2441
animeScore	6.35
animeUsers	169
animeRank	6949
animePopularity	8925
animeDescription	Huangli Shi, according to legends, refers to a Fangshi who can alter the effects of seasonal solstices, solar terms, and festivals, and is able to predict each day's fortune. Xiao Nanzhu, an unemployed young man, decided to take on his usual job that has been passed down for generations, after being inspired by his childhood friend. Now he just wants to call 110. Chuxi: What are you looking at? You don't want to live past new year's eve? Chuba: Today's fortune is terrible, nothing's going to turn out right. I'm afraid there might be a… bloody disaster.
animeRelated	[]
animeCharacters	['Chu, Xi', 'Xiao, Nanzhu']
animeVoices	[]
animeStaff	[]
