animeTitle	Raison d'être
animeType	Music
animeNumEpisode	1
releaseDate	2019-10-11 00:00:00
endDate	
animeNumMembers	
animeScore	7.59
animeUsers	1851
animeRank	
animePopularity	8402
animeDescription	Music video for Eve's second major single Raison d'être.
animeRelated	[]
animeCharacters	['Protagonist', 'Angelic Girl']
animeVoices	[]
animeStaff	[['Nakayama, Ryuu', 'Director, Storyboard, Animation Director'], ['Eve', 'Theme Song Performance'], ['Yoneyama, Mai', 'Animation Director, Character Design'], ['Yamamoto, Maki', 'Color Design']]
