animeTitle	Backkom Meogeujan Yeohaeng
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.61
animeUsers	164
animeRank	
animePopularity	13333
animeDescription	A cowardly boy ends up having a magic necklace delivered to him which transports him to the world of Backkom. There the rag-tag team get out of jams and the boy learns a bit of courage by the time he arrives home.
animeRelated	['Backkom', 'Backkom Specials']
animeCharacters	['Bear, Bernard']
animeVoices	[]
animeStaff	[]
