animeTitle	b'Mama Ohanashi Kikasete'
animeType	b'TV'
animeNumEpisode	15
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Short animated films of well-known Japanese folk tales, including the stories of Taro Maegami, The Riceball Family, The Master of Catching Stars, Thunder is the Bridegroom, and The Elephant's Sneeze. Shown as part of the children's variety\nprogram, Tondeke Gutchonpa.\n\n(Source: The Anime Encyclopedia)"""
animeRelated	[b'Gutchonpa Omoshiro Hanashi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
