animeTitle	Kaijuu no Kodomo
animeType	Movie
animeNumEpisode	1
releaseDate	2019-06-07 00:00:00
endDate	
animeNumMembers	66948
animeScore	7.18
animeUsers	21644
animeRank	2966
animePopularity	2140
animeDescription	"One summer vacation, Ruka meets two boys, ""Umi"" and ""Sora,"" whose upbringing contains strange and wonderful secrets. Drawn to their beautiful swimming, almost more like flying, Ruka and the adults who know them are intertwined in a complex mesh...

Meanwhile, an unexplained anomaly is occurring all over the world: fish are disappearing. Thus begins a marine adventure of boys and girls to captivate all the senses!"
animeRelated	['Kaijuu no Kodomo', 'Umi no Yuurei']
animeCharacters	['Sora', 'Ruka', 'Umi', 'Anglade', 'Azumi, Masaaki', 'Cusack, Jim', 'Azumi, Kanako']
animeVoices	['Ashida, Mana', 'Inagaki, Gorou', 'Tanaka, Min', 'Aoi, Yuu']
animeStaff	[['Tanaka, Eiko', 'Producer'], ['Watanabe, Ayumu', 'Director'], ['Kasamatsu, Kouji', 'Sound Director'], ['Yonezu, Kenshi', 'Theme Song Performance']]
