animeTitle	Mameneko
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	271
animeRank	
animePopularity	10537
animeDescription	"The series follows the daily lives of a naughty female cat named Azuki and a quiet male cat named Daizu who live with their owner, a 30 year old office lady, and her extended family, including an otaku elder brother and an adopted shiba inu dog who thinks he's a cat.

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	['Daizu', 'Azuki', 'Zashiki, Oyaji', 'Megane', 'Moja', 'Mamenosuke', 'Kainushi-san', 'Hadairo']
animeVoices	['Ueda, Hitomi', 'Kinoshita, Suzuna', 'Shimura, Takahiro', 'Katou, Wataru', 'Taichi, You', 'Hatanaka, Tasuku', 'Akesaka, Satomi', 'Mitoma, Kouhei']
animeStaff	[['Yamamoto, Yuuzou', 'Director'], ['Yamada, Yoshinobu', 'Art Director']]
