animeTitle	Teekyuu
animeType	TV
animeNumEpisode	12
releaseDate	2012-10-07 00:00:00
endDate	2012-12-23 00:00:00
animeNumMembers	
animeScore	6.59
animeUsers	24228
animeRank	
animePopularity	2288
animeDescription	"Teekyuu is all about the wacky antics of four schoolgirls—Kanae Shinjou gets bored easily and often breaks the laws of physics to get what she wants; Nasuno Takamiya is incredibly rich and knows how to make things go her way; Marimo Bandou would probably get arrested from her actions like eating panties or kidnapping children; and Yuri Oshimoto, their ordinary junior, rounds out the eccentric bunch that forms the sole members of their school's tennis club. 

Despite their interest in learning the sport, the older girls prefer messing around, while Yuri, being the only one who actually knows how to play and the most mature in spite of being younger, has to deal with her seniors' out of control behavior. 

When these four girls come together, insanity ensues in this lightning-paced comedy about a tennis club that doesn't really play tennis. 

[Written by MAL Rewrite]"
animeRelated	['Teekyuu', 'Teekyuu 2', 'Ketsuekigata-kun! Featuring Yuri & Nasuno', 'Usakame']
animeCharacters	['Bandou, Marimo', 'Shinjou, Kanae', 'Takamiya, Nasuno', 'Oshimoto, Yuri', 'Yucatan', 'Takamiya, Father', 'Tenchio, Keikiya']
animeVoices	['Hanazawa, Kana', 'Mimori, Suzuko', 'Narumi, Kyoko', 'Watanabe, Yui', 'Takahashi, Shinya', 'Machida, Hirokazu']
animeStaff	[['Itagaki, Shin', 'Director, Sound Director, Episode Director, Script, Storyboard, Key Animation, Character Design, In-Between Animation'], ['Watanabe, Yui', 'Theme Song Performance'], ['Narumi, Kyoko', 'Theme Song Performance'], ['Konno, Yasuyuki', 'Sound Effects']]
