animeTitle	b'Kokoro Yohou'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.64
animeUsers	2303
animeRank	
animePopularity	
animeDescription	"b'Music video for Eve\'s new single ""Kokoro Yohou"" (Heart Forecast) Created as a  commercial for Lotte Ghana chocolate ""Pink Valentine."" The commercial features three of Lotte Ghana chocolate\'s original characters: Akane, Momo, and Yukie.'"
animeRelated	[]
animeCharacters	[b'Momo', b'Yukie', b'Akane']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYoda, Nobutaka\n\nDirector\n\n', b'\nEve\n\nTheme Song Performance\n\n', b'\nSaitou, Atsushi\n\nCharacter Design\n\n', b'\nTamukai, Jun\n\nAnimation Director, Art Director\n\n']
