animeTitle	Teppen
animeType	OVA
animeNumEpisode	2
releaseDate	1996-01-21 00:00:00
endDate	1996-11-08 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14490
animeDescription	Hanabishi, an extremely violent, but chivalrous delinquent, gets into fights with yakuza, other punks, and sometimes the police, gaining a feared reputation that attracts a couple admirers and antagonizes his gang-infested schools' bosses.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
