animeTitle	Sotsugyou M: Ore-tachi no Carnival
animeType	OVA
animeNumEpisode	2
releaseDate	1999-01-21 00:00:00
endDate	1999-04-21 00:00:00
animeNumMembers	1877
animeScore	5.49
animeUsers	708
animeRank	10399
animePopularity	9593
animeDescription	"Kato, Shimura, Arai, Nakamoto, and Takagi are friends at an all-boys boarding school. After they get tricked by their school government president, the five must put on a performance of the play ""Little Women.""

(Source: ANN)"
animeRelated	['Sotsugyou M', 'Sotsugyou: Graduation']
animeCharacters	['Arai, Togo', 'Nakamoto, Syo', 'Shimura, Mikimaro', 'Yukinojyo, Uguisutani', 'Kasumi, Mikagekouji', 'Takagi, Shimon', 'Katou, Yuusuke', 'Kusanagi, Mizuho']
animeVoices	['Midorikawa, Hikaru', 'Canna, Nobutoshi', 'Sakaguchi, Daisuke', 'Miki, Shinichiro', 'Morikawa, Toshiyuki', 'Okiayu, Ryoutarou', 'Ishikawa, Hideo', 'Kusao, Takeshi']
animeStaff	[['Kamegaki, Hajime', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Tanaka, Masayoshi', 'In-Between Animation'], ['Motohashi, Hideyuki', 'Character Design, Animation Director']]
