animeTitle	Infini-T Force
animeType	TV
animeNumEpisode	12
releaseDate	2017-10-03 00:00:00
endDate	2017-12-19 00:00:00
animeNumMembers	
animeScore	6.46
animeUsers	1695
animeRank	
animePopularity	5804
animeDescription	"Emi is a seventeen-year-old girl living in Shibuya. Her father is always away with work and she's grown listless. Suddenly, a twist of fate involving a certain magical item changes everything. A mysterious pencil, of all things, is linked to the appearance of heroes from another world! Could this be the start to the excitement she's so desperately craving, or is there something more?

(Source: VIZ Media)"
animeRelated	['Infini-T Force: Mirai no Byousen', 'Uchuu no Kishi Tekkaman', 'Kagaku Ninja-tai Gatchaman', 'Hurricane Polymar', 'Shinzou Ningen Casshern', 'Infini-T Force Movie: Gatchaman - Saraba Tomo yo']
animeCharacters	['Casshern', 'Washio, Ken', 'Yoroi, Takeshi', 'Minami, Johji', 'Kaidou, Emi', 'Friender', 'Lynn, Belle', 'Z', 'Gray, Damian', 'Miyazaki, Risa']
animeVoices	['Saitou, Souma', 'Seki, Tomokazu', 'Suzumura, Kenichi', 'Sakurai, Takahiro', 'Kayano, Ai', 'Hanazawa, Kana', 'Ono, Atsushi', 'Hirakawa, Daisuke', 'Senbongi, Sayaka']
animeStaff	[['Suzuki, Kiyotaka', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Kimura, Nobukage', 'Episode Director, Storyboard'], ['flumpool', 'Theme Song Performance, Theme Song Composition, Theme Song Lyrics']]
