animeTitle	Mirai Nikki
animeType	OVA
animeNumEpisode	1
releaseDate	2010-12-09 00:00:00
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	110621
animeRank	
animePopularity	881
animeDescription	A short OVA that was bundled with the limited edition of the eleventh volume of the manga.
animeRelated	['Mirai Nikki', 'Mirai Nikki (TV)']
animeCharacters	['Gasai, Yuno', 'Amano, Yukiteru', 'Uryuu, Minene', 'Deus Ex Machina', 'Mur Mur', 'Kousaka, Ouji']
animeVoices	['Murata, Tomosa', 'Togashi, Misuzu', 'Aizawa, Mai', 'Honda, Manami', 'Shiraishi, Minoru']
animeStaff	[['Hosoda, Naoto', 'Director'], ['Nagura, Yasushi', 'Sound Director'], ['Yousei Teikoku', 'Theme Song Performance'], ['Itsuki, Yui', 'Theme Song Lyrics']]
