animeTitle	b'Utopia'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	2513
animeRank	
animePopularity	
animeDescription	b'Utopia is a song that was specially created for the True Tears x Hanasaku Iroha x Tari Tari Joint Festival Live featuring the seiyuu (voice actors) from the three series. P.A. Works produced a video of this song which is included in the the Blu-ray release of this event.'
animeRelated	[b'True Tears', b'Hanasaku Iroha', b'Tari Tari']
animeCharacters	[b'Matsumae, Ohana', b'Yuasa, Hiromi', b'Isurugi, Noe', b'Sakai, Wakana', b'Tsurugi, Minko', b'Oshimizu, Nako', b'Okita, Sawa', b'Miyamoto, Konatsu', b'Andou, Aiko', b'Wakura, Yuina']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHayami, Saori\n\nTheme Song Performance\n\n', b'\nTomatsu, Haruka\n\nTheme Song Performance\n\n', b'\nToyosaki, Aki\n\nTheme Song Performance\n\n', b'\nSeto, Asami\n\nTheme Song Performance\n\n']
