animeTitle	b'Choujin Densetsu Urotsukidouji: Inferno Road'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.42
animeUsers	879
animeRank	
animePopularity	
animeDescription	"b""Directly following the conclusion of Urotsukidoji III, the survivors of the Azuma kingdom genocide travel aboard a futuristic tank with Osaka as the destination. There, they plan to face both the Overfiend and their own fates as well. Along they way, the stumble upon a civilization beyond imagination, where children cruely rule over the adults. It is up to Amano Jyaku to save his friends from this sinister land and its evil ruler, Ellis. Shortly after their encounter, Sui Kaka Ju's sister Yoenhime summons Munhihausen, who transforms her into the menacing Yoenki. At last, she is strong enough to reap revenge on Amano for killing her brother. But Munhihausen has his own hidden agendas. The Urotsukidoji legend will finally reach its climax in Osaka, when Kiojo, the sweet and innocent Himi, and the Chojin meet face to face. """
animeRelated	[b'Urotsukidouji', b'Choujin Densetsu Urotsukidouji: Mirai-hen', b'Choujin Densetsu Urotsukidouji 5: Kanketsu-hen']
animeCharacters	[b'Amanojaku', b'Buju', b'Amano, Megumi', b'Kuroko', b'Suikakujyu', b'M\xc3\xbcnchhausen II, Faust']
animeVoices	[b'\nNishimura, Tomohiro\nJapanese\n', b'\nMatsumoto, Yasunori\nJapanese\n', b'\nTakada, Yumi\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n', b'\nYamaguchi, Ken\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakayama, Hideki\n\nDirector\n\n', b'\nKageyama, Shigenori\n\nScript, Screenplay\n\n', b'\nMaeda, Toshio\n\nOriginal Creator\n\n']
