animeTitle	Natsuyasumi.
animeType	ONA
animeNumEpisode	3
releaseDate	2013-01-27 00:00:00
endDate	2013-07-11 00:00:00
animeNumMembers	10989
animeScore	5.76
animeUsers	5116
animeRank	
animePopularity	5117
animeDescription	"Yuu and Natsuki met in the hot sun, during that unforgettable summer vacation... Was it a dream, or...? It was a bittersweet love story?

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Natsuki', 'Hazuki, Yuu']
animeVoices	[]
animeStaff	[['Yoshiten', 'Director'], ['Midoro, Musei', 'Episode Director, Storyboard'], ['Po-ju', 'Original Character Design'], ['Shinkai, Kouki', 'Editing']]
