animeTitle	Sonic★the★Hedgehog
animeType	OVA
animeNumEpisode	2
releaseDate	1996-01-26 00:00:00
endDate	
animeNumMembers	
animeScore	6.83
animeUsers	10265
animeRank	
animePopularity	4423
animeDescription	"When Dr. Eggman (Robotnik in the US version) holds the president and his daughter hostage, Sonic must comply to the evil scientist's demand of going to Eggmanland to stop Black Eggman and deactivate the city's generator before it reaches critical mass. Little does Sonic know that it's a trap to activate Hyper Metal Sonic, a robot counterpart built by Eggman to destroy our hero.

(Source: ANN)"
animeRelated	['Sonic X', 'Sonic: Night of the WereHog']
animeCharacters	['Sonic the Hedgehog', 'The Echidna, Knuckles', 'Robotnik, Ivo', 'Metal Sonic', 'Prower, Miles', 'Sara']
animeVoices	['Kikuchi, Masami', 'Matsumoto, Yasunori', 'Takiguchi, Junpei', 'Shiina, Hekiru', 'Kanai, Mika']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Campbell, Charles', 'ADR Director, Recording Engineer'], ['Naka, Yuuji', 'Production Assistant'], ['Muroi, Fumie', 'Assistant Animation Director, Key Animation']]
