animeTitle	Nijuu Mensou no Musume
animeType	TV
animeNumEpisode	22
releaseDate	2008-04-13 00:00:00
endDate	2008-09-28 00:00:00
animeNumMembers	
animeScore	7.57
animeUsers	10362
animeRank	
animePopularity	3189
animeDescription	"Chiko is the daughter of the wealthy Mikamo family who has to live with her aunt and uncle after her parents passed away. Because her aunt wants to inherit the Mikamo family's wealth, she gives Chiko poisoned food. One day, however, she's kidnapped by the Nijuu Mensou (20 Faces) and decides to join his clan. 

(Source: ZOMG)"
animeRelated	['Nijuu Mensou no Musume']
animeCharacters	['Mikamo, Chizuko', 'Nijuu Mensou', 'Ken', 'Tamiya, Seiji', 'Tome', 'Kayama, Nozomi', 'Akine', 'Mikamo, Yoshie', 'Kakihara, Kohei', 'Koito, Shunka']
animeVoices	['Hirano, Aya', 'Uchida, Yuuya', 'Matsukaze, Masaya', 'Tanaka, Atsuko', 'Arai, Satomi', 'Sawashiro, Miyuki', 'Takeda, Masanori', 'Touma, Yumi', 'Ootsuka, Houchuu', 'Satou, Rina']
animeStaff	[['Yamamoto, Kouji', 'Producer'], ['Yonai, Noritomo', 'Producer'], ['Kimura, Kyotaro', 'Producer'], ['Tomisawa, Nobuo', 'Director']]
