animeTitle	b'Elleair x Kamiusagi Rope'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A collaboration between the facial tissue company Elleair and the comedy anime franchise Kamiusagi Rope.'
animeRelated	[b'Taka no Tsume GO: Utsukushiki Elleair Shoushuu Plus', b'Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?', b'HuGoo.n no Hug Hug Song']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
