animeTitle	b'Rokushin Gattai GodMars'
animeType	b'TV'
animeNumEpisode	64
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	403
animeRank	
animePopularity	
animeDescription	"b""In the year 1999, humanity begins to advance beyond the solar system. The planet Gishin, led by the Emperor Zule, which aims to conquer the galaxy, runs into conflict with Earth. He targets Earth for elimination and to do this, he sends a baby called Mars to live among humanity. Accompanying the baby is a giant robot named Gaia, which utilizes a new power source strong enough to destroy an entire planet. As planned, Mars is expected to grow up, where he will activate the bomb within Gaia to fulfill the mission of destroying the Earth. However, when Mars arrives on Earth his is adopted into a Japanese family and given the name Takeru. Seventeen years later, Takeru would grow up with a love for humanity and refuses to detonate the bomb as ordered by Zule. However, if Takeru was to die, the bomb within Gaia would explode destroying the earth.\n\nTakeru possesses psychic powers ( ESP ) and decides to join the Earth defense forces and becomes a member of the Crasher Squad (an elite space defense force) where he and his friends take a last stand against the Gishin's attack.\n\nThe relationship of Takeru with his brother Maag, which fate would have it, pitted the two against each other in the war.\n\nUnknown to the Gishin five other robots were created in secrecy along side Gaia by Takeru's father and sent with Gaia to protect Takeru. Whenever Earth is in danger, Takeru is able to summon the five other robots to combine with Gaia form the giant robot Godmars. The five other robots are Sphinx, Uranus, Titan, Shin and Ra."""
animeRelated	[b'Mars', b'Shin Seiki Den Mars', b'Rokushin Gattai GodMars: Juunana-sai no Densetsu', b'Rokushin Gattai GodMars (1982)']
animeCharacters	[b'Xul, Emperor', b'Myoujin, Takeru', b'Flore', b'Rosee', b'Marg', b'Gasshu', b'Kiso, Akira', b'Myoujin, Shizuko', b'Gyron', b'Otsuka, Shigeru']
animeVoices	[b'\nNaya, Gorou\nJapanese\n', b'\nMizushima, Yuu\nJapanese\n', b'\nSakakibara, Yoshiko\nJapanese\n', b'\nUkai, Rumiko\nJapanese\n', b'\nMitsuya, Yuuji\nJapanese\n', b'\nNojima, Akio\nJapanese\n', b'\nShioya, Yoku\nJapanese\n', b'\nMaeda, Toshiko\nJapanese\n', b'\nKobayashi, Osamu\nJapanese\n', b'\nTomita, Kousei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamayoshi, Yasuo\n\nEpisode Director\n\n', b'\nFujikawa, Keisuke\n\nScript, Theme Song Lyrics, Series Composition, Screenplay\n\n', b'\nNabeshima, Osamu\n\nStoryboard, Key Animation\n\n', b'\nYokoyama, Mitsuteru\n\nOriginal Creator\n\n']
