animeTitle	b'Deep Voice'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.27
animeUsers	435
animeRank	
animePopularity	
animeDescription	"b'The story is set in an old Western-style hospital where Takumi is confined. Takumi has gained some strange abilities after he had an accident. He can see the ""deep voices"" of the past events bound in different places in the hospital, and also gets into other people\'s consciousness on times he is asleep. With Amano Aki, he tries to investigate about the mysterious past in the hospital. At the same time, a doctor, Yanagi Hiroko, tries to study about Takumi\'s strange ability. '"
animeRelated	[b'Deep Voice']
animeCharacters	[b'Hinoki', b'Yanagi, Hiroko', b'Kasuga, Hiroshi', b'Ogi, Takumi', b'Amano, Aki', b'Kasuga, Midori', b'Orihara, Aoi', b'Kurumi']
animeVoices	[b'\nYukie, Rena\nJapanese\n', b'\nHatamiya, Kanoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshiten\n\nCharacter Design\n\n', b'\nToma\n\nOriginal Character Design\n\n', b'\nApricot\n\nOriginal Creator\n\n']
