animeTitle	Dangerous Jiisan Ja
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14637
animeDescription	Two OVAs bundled with a special-edition issues of Coro Coro Comics.
animeRelated	['Zettai Zetsumei Dangerous Jiisan (2004)', 'Zettai Zetsumei Dangerous Jiisan (2005)', 'Wazaguu! vs. Dangerous Jiisan Ja: Houfukuzettou! Anime Quiz', '40 Shuunen Da yo!! CoroCoro All-Star Shougakkou']
animeCharacters	['Grandson', 'Dangerous Grandpa']
animeVoices	[]
animeStaff	[['Watanabe, Takashi', 'Director'], ['Hyadain', 'Music'], ['Soyama, Kazutoshi', 'Original Creator']]
