animeTitle	b'Donbei x Kemurikusa'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.5
animeUsers	366
animeRank	
animePopularity	
animeDescription	"b""A collaboration between Kemurikusa's TV series and Nissin. They promote the latter's Donbei Tsukimi Soba (moon-viewing soba) product after Wakaba finds several packages of them."""
animeRelated	[b'Nissin no Donbei x Kemono Friends', b'Kemurikusa (TV)', b'Nissin Men-nashi Donbei x Himote House']
animeCharacters	[b'Rin', b'Ritsu', b'Wakaba', b'Rina']
animeVoices	[]
animeStaff	[]
