animeTitle	Meisou! Underworld
animeType	ONA
animeNumEpisode	1
releaseDate	2014-04-15 00:00:00
endDate	
animeNumMembers	
animeScore	5.73
animeUsers	1116
animeRank	
animePopularity	9212
animeDescription	"Seita dies after dozing off behind the wheel and wakes up in the underworld. However, the prize that a demon extracts from him is part of his body.

(Source: ANN)"
animeRelated	['Meisou! Underworld']
animeCharacters	['Yoru', 'Seita']
animeVoices	['Yahagi, Sayuri', 'Oosaka, Ryouta']
animeStaff	[['Matsuo, Shin', 'Director'], ['Tanaka, Motoi', 'Original Creator'], ['Nakamura, Takashi', 'Art Director'], ['Yamada, Katsuya', 'Animation Director, Character Design']]
