animeTitle	Project ARMS: The 2nd Chapter
animeType	TV
animeNumEpisode	26
releaseDate	2001-10-06 00:00:00
endDate	2002-03-30 00:00:00
animeNumMembers	5294
animeScore	7.05
animeUsers	1909
animeRank	3566
animePopularity	6835
animeDescription	"The 2nd Chapter continues the story of Ryo Takatsuki and his companions' quest to discover the secret of the mysterious A.R.M.S. they all possess and what the future may hold for them. They now know where the answers lie but to get to them, they must fight a desperate fight of survival against a powerful military corporation that wants their secrets no matter what the cost.

(Source: AniDB)"
animeRelated	['Arms', 'Project ARMS']
animeCharacters	['Takatsuki, Ryou', 'Kuruma, Kei', 'Shingu, Hayato', 'Akagi, Katsumi', 'Tomoe, Takeshi', 'Gilbert, Yugo', 'Silver, Keith', 'Takatsuki, Misa', 'Green, Keith', 'Violet, Keith']
animeVoices	['Canna, Nobutoshi', 'Takayama, Minami', 'Miki, Shinichiro', 'Miura, Tomoko', 'Ueda, Yuuji', 'Kawazu, Yasuhiko', 'Kuwashima, Houko']
animeStaff	[['Yamauchi, Shigeyasu', 'Storyboard'], ['Miki, Shinichiro', 'Theme Song Composition, Theme Song Performance, Theme Song Lyrics'], ['Takayama, Minami', 'Theme Song Performance'], ['Ueda, Yuuji', 'Theme Song Performance']]
