animeTitle	Teekyuu 5
animeType	TV
animeNumEpisode	12
releaseDate	2015-07-07 00:00:00
endDate	2015-09-22 00:00:00
animeNumMembers	17122
animeScore	6.68
animeUsers	9372
animeRank	5213
animePopularity	4288
animeDescription	Fifth season of Teekyuu series.
animeRelated	['Teekyuu', 'Teekyuu 4', 'Teekyuu 6', 'Teekyuu 5 Specials']
animeCharacters	['Bandou, Marimo', 'Shinjou, Kanae', 'Takamiya, Nasuno', 'Oshimoto, Yuri', 'Michael', 'Tomalin', 'Kondou, Udonko', 'Tanaka, Kinako', 'Tenchio, Keikiya', 'Todoroki, Raiemon']
animeVoices	['Hanazawa, Kana', 'Mimori, Suzuko', 'Narumi, Kyoko', 'Watanabe, Yui', 'Miyake, Marie', 'Ogura, Yui', 'Ishihara, Kaori', 'Nakashima, Yuki', 'Souma, Kouichi']
animeStaff	[['Itagaki, Shin', 'Director, Sound Director, Episode Director, Script, Storyboard, Animation Director, Character Design, Chief Animation Director, Key Animation'], ['Hanazawa, Kana', 'Theme Song Performance'], ['Yashikin', 'Theme Song Arrangement, Theme Song Lyrics, Theme Song Composition'], ['Piyo', 'Original Character Design']]
