animeTitle	b'Digimon Frontier: Ornismon Fukkatsu!!'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.86
animeUsers	9073
animeRank	
animePopularity	
animeDescription	b'The five digi-destined children stumble upon an ancient island inhabited by two different types of digimon; The Beast types, and the Human types. When they see two young digimon-a beast and humanoid-have become friends, they decide something must be done about the feud.\n\n(Source: ANN)'
animeRelated	[b'Digimon Frontier']
animeCharacters	[b'Minamoto, Kouji', b'Kanbara, Takuya', b'Orimoto, Izumi', b'Shibayama, Junpei', b'Himi, Tomoki', b'Agnimon', b'Kimura, Kouichi', b'Neemon', b'Bokomon', b'Darcmon']
animeVoices	[b'\nKamiya, Hiroshi\nJapanese\n', b'\nTakeuchi, Junko\nJapanese\n', b'\nIshige, Sawa\nJapanese\n', b'\nShitanda, Michael\nJapanese\n', b'\nWatanabe, Kumiko\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nKikuchi, Masami\nJapanese\n', b'\nSugiyama, Kazuko\nJapanese\n', b'\nUehara, Takako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nImamura, Takahiro\n\nDirector\n\n', b'\nWada, Koji\n\nTheme Song Performance\n\n', b'\nMcGlynn, Mary Elizabeth\n\nADR Director\n\n', b'\nHongou, Akiyoshi\n\nOriginal Creator\n\n']
