animeTitle	Aresuke
animeType	Music
animeNumEpisode	Unknown
releaseDate	2008-01-01 00:00:00
endDate	
animeNumMembers	120
animeScore	
animeUsers	
animeRank	14849
animePopularity	17490
animeDescription	Aresuke is the mascot of Sanyo Broadcasting's radio division (Radio Sanyo Kabushikigaisha = RSK = Aresuke). The mascot had a little music video jig that was broadcasted everyday for one year. With the new year bringing in a new video. This ran for 4 years. Along with two musical commercials, Aresuke's limelight remains modest.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
