animeTitle	Moldiver
animeType	OVA
animeNumEpisode	6
releaseDate	1993-02-25 00:00:00
endDate	1993-11-25 00:00:00
animeNumMembers	
animeScore	6.03
animeUsers	1078
animeRank	
animePopularity	8239
animeDescription	"Hiroshi Ozora invents the Mol Unit, a device that makes its user invincible. His plans of becoming a super hero are short lived however when his sister, Mirai, accidently modifies the suit configuration. Now she is forced to save Tokyo by herself from the evil Machinegal and his gang of all-female androids. 

(Source: ANN)"
animeRelated	['Secret of Moldiver: Himitsu Daihyakka', 'Moldiver Ex']
animeCharacters	['Ozora, Mirai', 'Amagi, Hiroshi', 'Ozora, Hiroshi', 'Misaki, Kaoru', 'Nastassja', 'Sayuri', 'Shirase, Mao', 'Jennifer', 'Vivien', 'Isabelle']
animeVoices	['Yukana', 'Yanami, Jouji', 'Morikawa, Toshiyuki', 'Yanada, Kiyoyuki', 'Shimamura, Kaoru', 'Kikuchi, Izumi', 'Hiramatsu, Akiko', 'Amano, Yuri', 'Nishihara, Kumiko', 'Shinohara, Emi']
animeStaff	[['Inoue, Hiroaki', 'Producer'], ['Kitazume, Hiroyuki', 'Director, Animation Director, Character Design'], ['Aoki, Takeshi', 'Director'], ['Matsuoka, Hiroki', 'Sound Director']]
