animeTitle	Ten made Tobaso
animeType	Music
animeNumEpisode	1
releaseDate	2018-02-01 00:00:00
endDate	
animeNumMembers	161
animeScore	
animeUsers	
animeRank	13759
animePopularity	16729
animeDescription	A little girl astronaut crashes her small ship out in space. There is a scientist there with his own much larger crashed ship. They spent time together as he repairs her ship and  have a tearful departure. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
