animeTitle	Kobito to Ao Mushi
animeType	Movie
animeNumEpisode	1
releaseDate	1950-12-01 00:00:00
endDate	
animeNumMembers	247
animeScore	
animeUsers	
animeRank	16810
animePopularity	15381
animeDescription	A musical movie about a tiny village with tiny people. A tiny child fed a starving caterpillar his last rice cake. There was a race held soon after to determine who the king will be. The caterpillar had become a butterfly and as a thank you, pulled the tiny child's race car.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
