animeTitle	b'Reideen'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	2346
animeRank	
animePopularity	
animeDescription	"b'Saiga is a normal high school student with a gift in mathematics. His daily routine is disrupted when his family gets news that his Father\'s remains have been discovered\xe2\x80\x94a noted archeologist and researcher who had gone missing while exploring a site many years before. Among his remains were notes and artifacts that needed to be identified by the family near a notable triangular mountain in Japan known as ""Japan\'s pyramid"", a place suspected by some to be man-made. A meteor containing a strange robotic lifeform falls from the sky and begins to cause destruction, putting Saiga in danger and causing a mysterious bracelet from his father\'s research to activate and merge him with an ancient robot burried within the pyramid\xe2\x80\x94a robot the runes describe as Reideen. It is now up to Saiga and guardian Reideen to fight against this unknown alien threat from the sky.\n\n(Source: ANN)'"
animeRelated	[b'Reideen', b'Chouja Raideen', b'Yuusha Raideen']
animeCharacters	[b'Saiga, Junki', b'Midorino, Akira', b'Maedasaki, Taro', b'Kobayakawa, Shiori', b'Hoshikawa, Hana', b'Roxell', b'Terasaki, Soji']
animeVoices	[b'\nAzuma, Masataka\nJapanese\n', b'\nChiba, Saeko\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nOkada, Yuka\nJapanese\n', b'\nHonda, Takako\nJapanese\n', b'\nNojima, Hirofumi\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKuroki, Rui\n\nProducer\n\n', b'\nMorishita, Katsuji\n\nProducer\n\n', b'\nHongou, Mitsuru\n\nDirector, Episode Director, Script, Storyboard, Series Composition\n\n', b'\nMima, Masafumi\n\nSound Director\n\n']
