animeTitle	Cosmos Pink Shock
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.46
animeUsers	1036
animeRank	
animePopularity	9170
animeDescription	"Based on a 1984 serial on the ""Animevision"" video magazine. The original material was compiled into this one-shot video. 

(Source: AniDB) "
animeRelated	[]
animeCharacters	['Gatsupi', 'Hayami, Mitsuko', 'Narrator']
animeVoices	['Hayami, Show', 'Sakuma, Rei', 'Wakamoto, Norio']
animeStaff	[['Hasegawa, Yasuo', 'Director'], ['Shudou, Takeshi', 'Script, Theme Song Lyrics, Original Creator'], ['Kawai, Kenji', 'Theme Song Arrangement, Music'], ['Sakamoto, Chika', 'Theme Song Performance']]
