animeTitle	Curry no Kuni no Coburoux
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15919
animeDescription	"Coburoux is a prince of Curry Kingdom. Although he is a prince, he goes to the school for common people, and he is treated like other students. In fact, he is scolded by the teacher, is made to stand during class as a punishment, go some errands for a chef, and is teased by a girl whom he loves. He is always worried, and wonders whether the prince should be better. Being surrounded by weird friends and strange people in Curry Kingdom, he spends worrying days.

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	['Naanda', 'Potechin', 'Nutmeg', 'Gariken', 'Coburoux', 'Honey Obasan', 'Rakkyodon', 'Chutney Chef', 'Bouillon-sensei', 'Hayashi-jii']
animeVoices	['Taki, Pierre', 'Kanai, Mika', 'Sanada, Asami', 'Kosugi, Juurouta', 'Chiba, Shouya', 'Kobayashi, Yuu', 'Shimizu, Satoshi', 'Narita, Ken']
animeStaff	[['Hirayama, Ryou', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Sasaki, Tomoko', 'Script, Music, Original Creator'], ['Soutome, Kouichirou', 'Animation Director, Key Animation']]
