animeTitle	Nekogami Yaoyorozu: Ohanami Ghostbusters
animeType	OVA
animeNumEpisode	1
releaseDate	2012-03-21 00:00:00
endDate	
animeNumMembers	3581
animeScore	6.67
animeUsers	1322
animeRank	5219
animePopularity	7926
animeDescription	According to the official website, an OVA of Nekogami Yaoyorozu was announced to be released on March 21st 2012.
animeRelated	['Nekogami Yaoyorozu']
animeCharacters	['Mayu', 'Komiya, Yuzu', 'Gonta', 'Shamo', 'Yoshino', 'Ghost Girl', 'Meiko', 'Shosoin, Sasana', 'Shirasaki, Hasumi', 'Kamo, Yukina']
animeVoices	['Tomatsu, Haruka', 'Horie, Yui', 'Sanpei, Yuuko', 'Toyosaki, Aki', 'Mako', 'Inoue, Marina', 'Taketatsu, Ayana', 'Kayano, Ai', 'Shimoda, Asami', 'Mizuhashi, Kaori']
animeStaff	[['Sakurai, Hiroaki', 'Director'], ['Horie, Yui', 'Theme Song Performance'], ['FLIPFLOPs', 'Original Creator'], ['Watanabe, Atsuko', 'Character Design']]
