animeTitle	b'Renkin San-kyuu Magical? Pokaan'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.98
animeUsers	8701
animeRank	
animePopularity	
animeDescription	b'Renkin San-kyuu Magical? Pokaan follows the daily lives of four young girls. There is just one catch: they are anything but normal. This group of friends\xe2\x80\x94the energetic werewolf Liru, the joyful witch-in-training Uma, the motherly android Aiko, and the seductive vampire Pachira\xe2\x80\x94are actually princesses from the netherworld who have traveled to the human world in search of a new home. Unfortunately, their naivety and severe lack of knowledge make living peacefully among earthlings much more difficult than they imagined. \n\nAs they attempt to adapt to their brand new lifestyle, they cause all sorts of trouble, and end up attracting the unwanted attention of a woman by the name of Dr. K-Ko. The scientist believes that these new residents of Earth are up to no good and attempts to capture the girls to prove the existence of the supernatural and gain credibility with the scientific community. Every day brings a new adventure as the girls deal with the insanity of her antics and all that the human realm has to offer.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Renkin 3-kyuu Magical? Poka~n', b'Renkin San-kyuu Magical? Pokaan Specials']
animeCharacters	[b'Liru', b'Pachira', b'Uma', b'Aiko', b'Dr. K-Ko', b'Man ', b'Lulu ', b'Boy', b'Keimie', b'Jun']
animeVoices	[b'\nNabatame, Hitomi\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nSaitou, Momoko\nJapanese\n', b'\nAkesaka, Satomi\nJapanese\n', b'\nTsuda, Shouko\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n', b'\nKawakami, Tomoko\nJapanese\n', b'\nNomico\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYatagai, Kenichi\n\nDirector, Episode Director, Storyboard, Key Animation\n\n', b'\nMatsuoka, Hiroki\n\nSound Director\n\n', b'\nMasunari, Koji\n\nStoryboard\n\n', b'\nHirano, Aya\n\nTheme Song Performance\n\n']
