animeTitle	Shin Sakura Taisen the Animation
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.8
animeUsers	2934
animeRank	
animePopularity	4441
animeDescription	"In 1930, two years after the events of So Long, My Love, the Great Demon War results in the annihilation of the Imperial, Paris and New York Combat Revues' Flower Divisions. With Earth at peace and the revues' actions becoming public, the World Combat Revue Organization is formed with several international divisions; a biennial international Combat Revue tournament has been organized.

Ten years later in 1940, Imperial Japanese Navy captain Seijuurou Kamiyama is assigned as the captain of the new Imperial Combat Revue's Flower Division in Tokyo, which consists of: Sakura Amamiya, a swordswoman and new recruit; Hatsuho Shinonome, a shrine maiden and the most popular actress; Anastasia Palma, a newly-transferred Greek actress; Azami Mochizuki, a ninja prodigy from the Mochizuki clan; and Clarissa ""Clarise"" Snowflake, a Luxembourgian noblewoman. The division once again faces a new demon invasion and participates in the upcoming tournament—while trying to keep their home at the Imperial Theater open.

(Source: Wikipedia, edited)"
animeRelated	['Shin Sakura Taisen the Comic', 'Sakura Taisen']
animeCharacters	['Amamiya, Sakura', 'Palma, Anastasia', 'Shinonome, Hatsuho', 'Snowflake, Clarissa', 'Kamiyama, Seijuurou', 'Mochizuki, Azami', 'Kanzaki, Sumire', 'Ruzhkova, Layla', 'Kaminsky, Valery', 'Ruzhkova, Clara']
animeVoices	['Sakura, Ayane', 'Fukuhara, Ayaka', 'Uchida, Maaya', 'Hayami, Saori', 'Azakami, Youhei', 'Yamamura, Hibiku', 'Tomizawa, Michie', 'Shiraishi, Haruka', 'Akabane, Kenji', 'Watada, Misaki']
animeStaff	[['Ono, Manabu', 'Director, Series Composition'], ['Shimizu, Katsunori', 'Sound Director'], ['Takahashi, Takeo', 'Storyboard'], ['Kubo, Tite', 'Original Character Design']]
