animeTitle	b'Mainichi ga Nichiyoubi'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	474
animeRank	
animePopularity	
animeDescription	b'Yumi Takeshita is a cheerful lady who recently joined the police force of the Tawagoto precinct. When she was still a middle school student, she was saved from being hit by a truck thanks to a stranger. Several years later, she meets her savior once again while performing her first arrest attempt. He is a magician named Tohru Ichidaiji and Yumi is charmed to finally meet him. As a police officer who is assigned to several odd tasks, she will keep asking for the help of the handy Tohru.\n\n(Source: ANN)'
animeRelated	[b'Mainichi ga Nichiyoubi']
animeCharacters	[b'Takeshita, Yuumi', b'Ichidaiji, Toru', b'Chief Ninomiya', b'Ninomiya, Shiho']
animeVoices	[b'\nItou, Miki\nJapanese\n', b'\nMatsumoto, Yasunori\nJapanese\n', b'\nIkeda, Masaru\nJapanese\n', b'\nHiramatsu, Akiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshikawa, Mitsuhisa\n\nProducer\n\n', b'\nUeda, Hidehito\n\nDirector, Screenplay\n\n', b'\nSaotome, Yuusaku\n\nDirector, Episode Director\n\n', b'\nOota, Masahiko\n\nEpisode Director, Storyboard, Key Animation, Animation Director\n\n']
