animeTitle	Duel Masters!
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	148
animeRank	
animePopularity	10984
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Duel Masters', 'Duel Masters (2017)', 'Duel Masters!!']
animeCharacters	['Kirifuda, Joe', 'Deckie', 'Uraraka, Momo', 'Kira', 'Bolts']
animeVoices	['Kobayashi, Yumiko', 'Satou, Setsuji', 'Toyosaki, Aki', 'Toyonaga, Toshiyuki', 'Shiraishi, Minoru']
animeStaff	[['Sasaki, Shinobu', 'Director'], ['Itou, Fumio', 'Episode Director, Storyboard'], ['Inoue, Akiko', 'Script'], ['Kimura, Hiroshi', 'Storyboard']]
