animeTitle	Shin Kyojin no Hoshi
animeType	TV
animeNumEpisode	52
releaseDate	1977-10-01 00:00:00
endDate	1978-09-30 00:00:00
animeNumMembers	558
animeScore	
animeUsers	
animeRank	13257
animePopularity	12655
animeDescription	"A continuation of the popular baseball saga about the star pitcher of a professional baseball team.

(Source: AniDB)"
animeRelated	['Shin Kyojin no Hoshi', 'Kyojin no Hoshi', 'Shin Kyojin no Hoshi II']
animeCharacters	['Hoshi, Hyuuma', 'Hoshi, Ittetsu', 'Hanagata, Mitsuru', 'Ban, Chuuta']
animeVoices	['Furuya, Toru', 'Katou, Seizou', 'Inoue, Makio', 'Yanami, Jouji']
animeStaff	"[[""Koorogi '73"", 'Theme Song Performance, Inserted Song Performance'], ['Matsuyama, Yuushi', 'Theme Song Arrangement'], ['Kajiwara, Ikki', 'Original Creator'], ['Araki, Shingo', 'Chief Animation Director, Character Design']]"
