animeTitle	Haritsuke
animeType	OVA
animeNumEpisode	2
releaseDate	2020-04-24 00:00:00
endDate	2020-07-03 00:00:00
animeNumMembers	
animeScore	5.55
animeUsers	1153
animeRank	
animePopularity	8654
animeDescription	"Miho Saegusa, the beautiful daughter of a tea ceremony master, is currently teaching at a prestigious school. Miho, who is well respected by the students, gets engaged to Okazaki, the son of a school board member and a colleague.

One of her students, Michiru Tayama, who knows about it, schemes to humiliate Miho because she was suspended from school for having a sexual relationship with her boyfriend. Michiru sets up Miho's fiancé Okazaki and takes advantage of Miho by blackmailing her.

The female teacher who is bewildered by the clumsy and unacceptable conditions, has no choice but to comply.

Miho's true nature is exposed under the reality of her lewdness and madness..."
animeRelated	['Haritsuke']
animeCharacters	['Saegusa, Miho']
animeVoices	['Hyo-sei']
animeStaff	[['Clone Ningen', 'Original Creator']]
