animeTitle	Ippon Bouchou Mantarou
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	120
animeRank	
animePopularity	13290
animeDescription	Based on the manga by Big Joe (ビッグ錠).
animeRelated	[]
animeCharacters	"['Mantarou', 'Shijou, Mimi', 'Shikaisha', ""Matsunosuke's Father"", 'Ginpei', ""Mantarou's Mother"", 'Bongo Chef', 'Announcer', 'President']"
animeVoices	['Matsumoto, Yasunori', 'Orikasa, Ai', 'Ootaki, Shinya', 'Ogata, Kenichi', 'Imanishi, Masao', 'Yokoo, Mari', 'Ginga, Banjou', 'Umezu, Hideyuki', 'Nagai, Ichiro']
animeStaff	[['Takeuchi, Yoshio', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Mano, Akira', 'Episode Director'], ['Ueda, Hidehito', 'Storyboard']]
