animeTitle	b'D-Spray'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	1458
animeRank	
animePopularity	
animeDescription	b'Based on the erotic game by Undermoon.\n\nSaionji is a lazy employee who always gets scolded by his boss. One day, he was asked to test the effectiveness of an aphrodisiac on the female employees of his company.\n\n(Source: HentaiTake)'
animeRelated	[]
animeCharacters	[b'Ayana, Sakuragi', b'Saionji, Daisuke', b'Kawasaki, Tomoka', b'Oomori, Reiko']
animeVoices	[b'\nInokuchi, Yuka\nJapanese\n', b'\nMinakami, Shirou\nJapanese\n', b'\nMinase, Saki\nJapanese\n', b'\nAsai, Harumi\nJapanese\n']
animeStaff	[]
