animeTitle	Kamisama no Inai Nichiyoubi: Kioku
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	14062
animeRank	
animePopularity	3465
animeDescription	"Episode 13 of Kamisama no Inai Nichiyoubi, included in the final Blu-ray/DVD volume of the series.

This bonus episode is separated into three parts.

In the first part, taking place before the characters reach Ostia, Ai and the others visit a hot spring.

In the second part, Alice remembers the times he killed his classmates and encounters Hampnie Hambart. A battle ensues.

In the third and final part, Hampnie dreams of when he first met Hana and is then woken up by Ai.

(Source: Wikipedia)"
animeRelated	['Kamisama no Inai Nichiyoubi']
animeCharacters	['Ai', 'Hambart, Hampnie', 'Color, Alice', 'Stratmitos, Dee Ensy', 'Scar', 'Dmitriyevich, Julie Sakuma', 'Hana']
animeVoices	['Toyosaki, Aki', 'Namikawa, Daisuke', 'Uchiyama, Kouki', 'Kitamura, Eri', 'Noto, Mamiko', 'Fujiwara, Keiji', 'Satou, Rina']
animeStaff	[['Kumazawa, Yuuji', 'Director'], ['Hooks, Lainee', 'Script'], ['Kitamura, Eri', 'Theme Song Performance'], ['Komatsu, Mikako', 'Theme Song Performance']]
