animeTitle	Hachigatsu no Cinderella Nine (TV)
animeType	TV
animeNumEpisode	12
releaseDate	2019-04-08 00:00:00
endDate	2019-07-08 00:00:00
animeNumMembers	
animeScore	6.11
animeUsers	7507
animeRank	
animePopularity	3731
animeDescription	"In the game, the player takes the role of an unnamed former little senior league baseball ace who lost his or her baseball career after suffering an unspecified injury. The character moves to his or her grandmother's hometown and enrolls in the local high school, resolved never to enter the world of baseball again. When the character meets Tsubasa Arihara, he or she is persuaded to be the manager of the school's baseball team, and to take the team to the high school nationals at Koshien. 

(Source: ANN)"
animeRelated	['Hachigatsu no Cinderella Nine', 'Hachigatsu no Cinderella Nine Episode 13']
animeCharacters	['Ukita, Akane', 'Arihara, Tsubasa ', 'Kawakita, Tomoe', 'Nozaki, Yuuki', 'Shinonome, Ryou', 'Iwaki, Yoshimi', 'Suzuki, Waka', 'Tsukumo, Kana', 'Nakano, Ayaka', 'Kurashiki, Maiko']
animeVoices	['Hanamori, Yumiri', 'Nishida, Nozomi', 'Inoue, Honoka', 'Minami, Saki', 'Kondou, Reina', 'Yamashita, Nanami', 'Midorikawa, Yuubi', 'Shiraishi, Haruka', 'Takagi, Yurika', 'Endou, Yurika']
animeStaff	[['Kudou, Susumu', 'Director'], ['Seki, Tomohiro', 'Sound Director'], ['Mewhan', 'Theme Song Performance'], ['Obata, Takahiro', 'Music']]
