animeTitle	Nijiiro no Fushigina Ishi
animeType	OVA
animeNumEpisode	1
releaseDate	1996-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17917
animeDescription	An educational film meant to teach children to walk a mile in other people's shoes. Kids who are mean may be having a tough life at home and this is their way of coping. By helping each other out can heal the hearts of everyone.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
