animeTitle	Sore Ike! Anpanman: Kokin-chan to Aoi Namida
animeType	Movie
animeNumEpisode	1
releaseDate	2006-07-15 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15415
animeDescription	"Anpanman finds an odd little girl from outer space. The girl turns out to be Kokin-chan, Dokin-chan's younger sister who came to Earth to play. Moreover, Kokin-chan is a master of fake crying and exploits her skill to get out of the trouble she causes. And her tears have the special power to make anyone whose eyes are touched by them cry without reason.

(Source: ANN)"
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Dokin-chan', 'Oji-san, Jam', 'Kokin-chan', 'Batako-san', 'Horrorman', 'Katsudonman']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Otoha', 'Sakuma, Rei', 'Kimotsuki, Kaneta', 'Mitsuya, Yuuji']
animeStaff	[['Yanase, Takashi', 'Original Creator']]
