animeTitle	Dark Blue
animeType	OVA
animeNumEpisode	2
releaseDate	2012-04-27 00:00:00
endDate	2013-03-29 00:00:00
animeNumMembers	
animeScore	5.89
animeUsers	2924
animeRank	
animePopularity	5848
animeDescription	"A group of people go to a summer house for a vacation, unaware of the perils they will undergo during their stay. A school doctor who accompanies them plans on blackmailing one of the women in the group as he got hold of her diary. Relationships are blurry and chaos starts when one of them dies. Escaped convicts have entered the vicinity and have destroyed the main bridge, rendering these people unable to escape. Now trapped and scared, what are they going to do?

(Source: HentaiTake)"
animeRelated	['True Blue', 'True Blue: Gaiden', 'Innocent Blue', 'Triangle Blue', 'White Blue']
animeCharacters	['Kuonji, Otoha', 'Aizawa, Suzuka', 'Inou, Reiya', 'Aizawa, Yukito', 'Aizawa, Kotomi', 'Takamine, Gorou', 'Honoka']
animeVoices	['Taguchi, Hiroko', 'Kawaragi, Shiho', 'Harada, Tomotaka', 'Narumi, Erika']
animeStaff	[['Nobidome, Youta', 'Director'], ['Kinohara, Hikaru', 'Character Design'], ['LiLiM', 'Original Creator']]
