animeTitle	Yamada-kun to 7-nin no Majo
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.28
animeUsers	22245
animeRank	
animePopularity	2438
animeDescription	"Shiraishi Urara is the top student in her school. One day, due to an accidental kiss, Urara finds herself in the body of the school delinquent, Yamada Ryuu! In trying to switch back to their own bodies, Urara and Ryuu discover that kissing causes them to switch bodies, which leads to their discovery that there are 7 witches in their school. They soon try to uncover the identities of the 7 witches... 
Promotional Video for the TV Series.

(Source: AniDB)"
animeRelated	['Yamada-kun to 7-nin no Majo', 'Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai', 'Yamada-kun to 7-nin no Majo (TV)']
animeCharacters	['Shiraishi, Urara', 'Yamada, Ryuu', 'Miyamura, Toranosuke', 'Itou, Miyabi', 'Odagiri, Nene', 'Takigawa, Noa', 'Sarushima, Maria', 'Saionji, Rika', 'Ootsuka, Meiko', 'Asuka, Mikoto']
animeVoices	['Hayami, Saori', 'Oosaka, Ryouta']
animeStaff	[['Yoshikawa, Miki', 'Original Creator']]
