animeTitle	Kyuumei Senshi Nanosaver
animeType	TV
animeNumEpisode	28
releaseDate	1997-04-09 00:00:00
endDate	1998-01-22 00:00:00
animeNumMembers	242
animeScore	
animeUsers	
animeRank	16992
animePopularity	15413
animeDescription	"The third show in the Virtual Trilogy, a mix of anime and live action shots. 

In the beginning of the 22nd century society advanced rapidly. Now even children are able to become real doctors, a task before that took two and a half decades to achieve. And nanomachines became prevalent to fight disease. Keita is a Nanosaver, a child doctor who uses the virtual world to apply life saving techniques by entering the body and treating the patients in a virtual medical station (VMS). As more and more patients are taken in, various mysterious are uncovered about them.

In the second half of the anime, a small Ethanarian alien and galactic federation is introduced."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
