animeTitle	Fumikiri Jikan
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	16294
animeRank	
animePopularity	2968
animeDescription	"Every day, all kinds of different people stop at railroad crossings on their way to work or school, resulting in all sorts of different conversations. Friends, enemies, acquaintances, and complete strangers—there's always a new encounter to be had.

Fumikiri Jikan documents the discussions that take place at these locations. Whether these are funny or depressing, expected or completely unexpected, they certainly have the potential to be quite interesting.

[Written by MAL Rewrite]"
animeRelated	['Fumikiri Jikan']
animeCharacters	['Tomo', 'Ai', 'Komaba, Misaki', 'Saito', 'Utako', 'Yukiko', 'Hassaku Ojisan', 'Saeki', 'Akemi', 'Kurobe']
animeVoices	['Ogura, Yui', 'Senbongi, Sayaka', 'Kinoshita, Suzuna', 'Ayase, Yuu', 'Tamura, Yukari', 'Wakamoto, Norio', 'Narita, Ken', 'Aranami, Kazusa', 'Honda, Mariko']
animeStaff	[['Suzuki, Yoshio', 'Director'], ['Abe, Nobuyuki', 'Sound Director'], ['Chiba, Misuzu', 'Script, Series Composition'], ['Komagata, Yuri', 'Theme Song Performance']]
