animeTitle	Legend of Lemnear: Kyokuguro no Tsubasa Valkisas
animeType	OVA
animeNumEpisode	1
releaseDate	1989-07-25 00:00:00
endDate	
animeNumMembers	
animeScore	5.53
animeUsers	2975
animeRank	
animePopularity	6344
animeDescription	"The young and beautiful Lemnear's home village is destroyed and her brother is taken away. Lemnear swears to kill the evil wizard Gardin who is responsible for the disaster. With her allies Lemnear goes on a journey to take her revenge. She doesn't know, though, that there is someone above Gardin... 

(Source: ANN) "
animeRelated	['Legend of Lemnear', 'Legend of Lemnear: Kyokuguro no Tsubasa Valkisas Pilot Film']
animeCharacters	['Lemnear', 'Varohl', 'Gardin', 'Lian', 'Sendoshi', 'Mesh', 'Vuan']
animeVoices	['Yamada, Eiko', 'Tanaka, Nobuo', 'Kayumi, Iemasa', 'Yokozawa, Keiko', 'Saikachi, Ryuuji', 'Nakao, Ryusei', 'Otsuka, Chikao']
animeStaff	[['Yoshimoto, Kinji', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Urushihara, Satoshi', 'Character Design, Creator'], ['Baba, Toshiko', 'Key Animation']]
