animeTitle	Lupin III: $1 Money Wars
animeType	Special
animeNumEpisode	1
releaseDate	2000-07-28 00:00:00
endDate	
animeNumMembers	
animeScore	7.14
animeUsers	2370
animeRank	
animePopularity	6496
animeDescription	"Lupin & co. compete with a greedy bank president and her goons to solve the mystery leading to a broach, a treasure said to be behind the success of history's most powerful rulers. 

(Source: ANN)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Gilbert', 'Craymov, Cynthia', 'Fishbarn, Sandy', 'Auctioneer', 'Nabikov, Alexei']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou', 'Koyama, Mami', 'Matsumoto, Rica', 'Nakata, Jouji']
animeStaff	[['Cook, Justin', 'Producer'], ['Watson, Barry', 'Producer'], ['Tonokatsu, Hideki', 'Director'], ['Strait, Sonny', 'ADR Director']]
