animeTitle	b'Makeruna! Makendou'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.57
animeUsers	482
animeRank	
animePopularity	
animeDescription	"b""Makenko used to be a normal boy\xe2\x80\x94until he was kidnapped by the brain monster Dr. Mud and transformed into a cyborg capable of destroying both the monster and human worlds! On his quest for vengeance, he is inadvertently joined by Makendo, a fellow monster hunter who would prefer not to be, and her little sister Hikari who would like nothing better! Dastardly demons and wacky monsters abound as the trio fight the bad guys to kick some monster butt, and get Makenko's body back!"""
animeRelated	[]
animeCharacters	[b'Kaimyouji, Eizan', b'Tsurugino, Hikari', b'Tsurugino, Mai', b'Dr. Mad', b'Chew Karn', b'Show', b'Doro']
animeVoices	[b'\nHiyama, Nobuyuki\nJapanese\n', b'\nKanai, Mika\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nChiba, Shigeru\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nNagashima, Yuuko\nJapanese\n', b'\nHorikawa, Ryo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMurata, Kazuya\n\nDirector\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nMitsuishi, Kotono\n\nTheme Song Performance\n\n', b'\nKanai, Mika\n\nTheme Song Performance\n\n']
