animeTitle	b'Tottoko Hamtarou'
animeType	b'TV'
animeNumEpisode	296
releaseDate	
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	19280
animeRank	
animePopularity	
animeDescription	"b""He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader HirokoHaruna, Hamtarou discovers other hamsters and quickly makes friends.\n\nThe group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas..\n\nHamtarou meets a huge cast of different personalities, gets himself into\xe2\x80\x94and out of\xe2\x80\x94some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!"""
animeRelated	"[b'Hamtaro', b'Tottoko Hamtarou OVA 1: Hamtaro no Otanjoubi - Mama wo Tasunete Sanzen Techi Techi', b'Tottoko Hamtarou Movie 1: Ham-Ham Land Daibouken', b'Tottoko Hamtarou Movie 2: Ham-Ham Hamuuja! Maboroshi no Princess', b'Tottoko Hamtarou Movie 3: Ham Ham Grand Prix Aurora Tani no Kiseki - Ribon-chan Kiki Ippatsu!', b'Tottoko Hamtarou Movie 4: Hamtaro to Fushigi no Oni no Emon Tou', b'Tottoko Hamtarou OVA 2: Hamuchanzu no Takara Sagashi Daisaku - Hamuha! Suteki na Umi no Natsuyasumi', b'Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono', b'Tottoko Hamtarou OVA 4: Hamuchanzu no Mezase! Hamuhamu Kin Medal - Hashire! Hashire! Daisakusen', b'Tottoko Hamtarou Hai!', b'Tottoko Hamtarou no Tottoko Daijida!! Bousai Kunren', b'Tottoko Hamtarou no Tottoko Taisetsu!! Koutsuu Rule', b'Tottoko Hamtarou wa Ham Ham Paradise! Kazu Katachi Chie', b'Tottoko Hamtarou: ""A"" kara ""N"" made Hiragana Asobi', b'Tottoko Hamtarou: Hiragana Tanken', b""Tottoko Hamtarou: Best Hit Ham-chan'zu Music Clip"", b'Tottoko Hamtarou: Anime Dechu!']"
animeCharacters	[b'Hamtarou', b'Ribon-chan', b'Chibimaru-chan', b'Taishoo-kun', b'Neteru-kun', b'Kaburu-kun', b'Panda-kun', b'Koushi-kun', b'Mafura-chan', b'Haruna, Hiroko']
animeVoices	[b'\nMamiya, Kurumi\nJapanese\n', b'\nMurai, Kazusa\nJapanese\n', b'\nMatoi, Kaori\nJapanese\n', b'\nItou, Kentarou\nJapanese\n', b'\nSugimoto, Yuu\nJapanese\n', b'\nUchikawa, Ai\nJapanese\n', b'\nSaitou, Yuuko\nJapanese\n', b'\nAikawa, Rikako\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nIkezawa, Haruna\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKobayashi, Noriko\n\nProducer\n\n', b'\nNabeshima, Osamu\n\nDirector, Storyboard\n\n', b'\nOkada, Mari\n\nScript\n\n', b'\nNakase, Rika\n\nScript\n\n']
