animeTitle	Kindaichi Shounen no Jikenbo Returns 2nd Season
animeType	TV
animeNumEpisode	22
releaseDate	2015-10-03 00:00:00
endDate	2016-03-26 00:00:00
animeNumMembers	
animeScore	7.66
animeUsers	3796
animeRank	
animePopularity	5426
animeDescription	"Hajime Kindaichi once again becomes embroiled in solving baffling cases and deciphering puzzling crimes that would confound the most seasoned of detectives. Whether it's a gruesome murder and shady circumstances surrounding the Japanese board game Go; a perplexing and macabre case involving a mysterious character, ""Rosenkreutz,"" and blue roses; or blood curdling crimes associated with an urban legend at a winter ski resort – Hajime is out to crack them all!

(Source: YTV)"
animeRelated	['Kindaichi Shounen no Jikenbo - Short File Series', 'Kindaichi Shounen no Jikenbo: Case Series', 'Kindaichi Shounen no Jikenbo - Shin Series', 'Kindaichi Shounen no Jikenbo Returns', 'Kindaichi Shounen no Jikenbo: 20th Shuunen Kinen Series', 'Kindaichi Shounen no Jikenbo Returns 2nd Season: Akechi Keibu no Jikenbo']
animeCharacters	['Kindaichi, Hajime', 'Nanase, Miyuki', 'Takatoo, Youichi', 'Akechi, Kengo', 'Kenmochi, Isamu', 'Tsukuyomi, Giselle', 'Li, Pai Long', 'Nang, Leiching', 'Onodera, Sorami', 'Hiiragi, Shinichirou']
animeVoices	['Matsuno, Taiki', 'Nakagawa, Akiko', 'Ono, Kenichi', 'Morikawa, Toshiyuki', 'Kosugi, Juurouta', 'Sawashiro, Miyuki', 'Chiba, Isshin', 'Inoue, Marina', 'Fujimura, Ayumi', 'Kobayashi, Chikahiro']
animeStaff	[['Ikeda, Youko', 'Director, Episode Director'], ['Kakudou, Hiroyuki', 'Episode Director, Storyboard'], ['Tanaka, Tomoya', 'Episode Director'], ['Tomioka, Atsuhiro', 'Script']]
