animeTitle	Binzume Yousei
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	6955
animeRank	
animePopularity	4268
animeDescription	"Set in the year 2004, Binzume Yousei is a slice-of-life fairy tale that revolves around four fairies, each represented by four unique colors as seen with their magical bottle jars. These fairies are the extremely peppy Kururu, the reserved and feminine Chiriri, the samurai-loving tomboy Sarara, and the quiet yet quirky Hororo.

Fascinated by the human world, these fairies arrived from the fairy world in hopes of participating in the annual traditions and overall way of human life. However, they have a very limited understanding of the human world. Luckily, they are befriended and guided by two humans—""Sensei-san,"" a university student who they live with, and a first-grade girl they call ""Tama-chan,"" who is sometimes as naive as the fairies themselves.

Though these bottle fairies have strange ideas and sometimes have difficulty understanding this new world, they try to make the most of the human experience in their own cute little ways.

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Hororo', 'Sarara', 'Kururu', 'Chiriri', 'Oboro', 'Tama-chan', 'Kusachiho', 'Scout', 'Sensei-san']
animeVoices	['Nonaka, Ai', 'Horie, Yui', 'Mizuki, Nana', 'Nazuka, Kaori', 'Momoi, Haruko', 'Nakamura, Chie', 'Taniyama, Kishou']
animeStaff	[['Iwasaki, Yoshiaki', 'Director, Storyboard, Animation Director'], ['Kikuta, Hiromi', 'Sound Director'], ['Kosaka, Harume', 'Episode Director, Storyboard'], ['Suzuki, Yoshio', 'Episode Director']]
