animeTitle	Omakase Scrappers
animeType	TV
animeNumEpisode	39
releaseDate	1994-04-07 00:00:00
endDate	1995-01-05 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14851
animeDescription	Adventures of the Scrappers Rescue Team.
animeRelated	[]
animeCharacters	['Chuuta, Chuusuke']
animeVoices	[]
animeStaff	[['Ooba, Hideaki', 'Director, Episode Director, Script, Storyboard'], ['Watanabe, Shinichi', 'Episode Director'], ['Okuda, Seiji', 'Episode Director'], ['Yoshimura, Fumihiro', 'Episode Director, Storyboard']]
