animeTitle	Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai
animeType	Special
animeNumEpisode	1
releaseDate	2015-01-09 00:00:00
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	60837
animeRank	
animePopularity	1525
animeDescription	"Tomoya Aki, Megumi Katou, Eriri Spencer Sawamura, Utaha Kasumigaoka and Tomoya's cousin Michiru Hyoudou (all members of a doujin circle called Blessing Software) go out location scouting for their project, a video game. As Eriri attempts to get Megumi to act out a scenario for the main heroine, Utaha lures Tomoya away and forces him to act out a romantic scenario with her.

(Source: Wikipedia)"
animeRelated	['Saenai Heroine no Sodatekata']
animeCharacters	['Katou, Megumi', 'Kasumigaoka, Utaha', 'Sawamura, Eriri Spencer', 'Aki, Tomoya', 'Hyoudou, Michiru']
animeVoices	['Yasuno, Kiyono', 'Kayano, Ai', 'Oonishi, Saori', 'Matsuoka, Yoshitsugu', 'Yahagi, Sayuri']
animeStaff	[['Haruna, Luna', 'Theme Song Performance, Theme Song Lyrics'], ['Sawai, Miku', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition'], ['Maruto, Fumiaki', 'Original Creator'], ['Misaki, Kurehito', 'Original Character Design']]
