animeTitle	b'Takunomi.'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	12145
animeRank	
animePopularity	
animeDescription	b'20-year-old Michiru Amatsuki moved to Tokyo after a career change, and now finds herself living in a woman only share house, Stella House Haruno, with a few other women of varying age and occupation. Every night the girls settle down and have a drink or two (or more) as drama ensues.'
animeRelated	[b'Takunomi.']
animeCharacters	[b'Kiriyama, Nao', b'Amatsuki, Michiru', b'Kiriyama, Makoto', b'Midorikawa, Kae', b'Ogi, Reiko', b'Hanamori']
animeVoices	[b'\nAnzai, Chika\nJapanese\n', b'\nImamura, Ayaka\nJapanese\n', b'\nUchida, Maaya\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nYasuno, Kiyono\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKobayashi, Tomoki\n\nDirector\n\n', b'\nHamano, Takatoshi\n\nSound Director\n\n', b'\nIshigura, Rei\n\nEpisode Director, Storyboard\n\n', b'\nTakayama, Katsuhiko\n\nScript, Series Composition\n\n']
