animeTitle	Yokoo's 3 Animation Films
animeType	OVA
animeNumEpisode	3
releaseDate	1964-01-01 00:00:00
endDate	1965-01-01 00:00:00
animeNumMembers	
animeScore	4.63
animeUsers	394
animeRank	
animePopularity	11476
animeDescription	"Three short films by the Japanese avant-garde illustrator and animator. Regarded (unfairly) as the Japanese equivalent of Andy Warhol, these films showcase a distinctively commercial illustration look reminiscent of the current pop art movement of that decade (1960s).
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
