animeTitle	Ma ga Ochiru Yoru
animeType	OVA
animeNumEpisode	3
releaseDate	2006-08-25 00:00:00
endDate	2006-12-22 00:00:00
animeNumMembers	4320
animeScore	6.41
animeUsers	1606
animeRank	
animePopularity	7431
animeDescription	"Sheliss Elleness Zurbach suddenly appears out of the blue in modern day Tokyo. Destiny has brought her to the human world, destiny in the form of an evil adversary named Gilva. Needing help in tracking down her enemy, she enlists a sexy demon killer.

What Sheelis didn't count on was that a crazed, slimy, tentacled magician would paralyze her and turn her into a sex slave. The slimy tentacles slither all over the paralyzed princess' body.

A long night of sexual punishment is about to begin...

(Source: AniDB)"
animeRelated	['Ma ga Ochiru Yoru']
animeCharacters	['Zurbach, Sheliss Elleness', 'Kido, Akane', 'Medyuna', 'Gilva', 'Miiti']
animeVoices	['Kurokawa, Nami', 'Maeda, Yukie', 'Arai, Shizuka', 'Motoi, Emi']
animeStaff	[['Murayama, Kousuke', 'Key Animation, Animation Director, Chief Animation Director']]
