animeTitle	RDG: Red Data Girl
animeType	TV
animeNumEpisode	12
releaseDate	2013-04-04 00:00:00
endDate	2013-06-20 00:00:00
animeNumMembers	
animeScore	6.57
animeUsers	43381
animeRank	
animePopularity	1597
animeDescription	"Fifteen-year-old Izumiko Suzuhara just wants to be a normal girl, but that is easier said than done. Raised in a shrine deep in the mountains, she grew up extremely sheltered and painfully shy. She also has the unfortunate tendency to destroy any electronic device simply by touching it.

Despite this, she still wants to try and change her life. To mark her determination to follow through on this transformation, Izumiko begins by cutting her bangs, which shocks both her classmates and protectors. And that's only the start! Her guardian, Yukimasa Sagara, forces his son, Miyuki, to come to the mountain shrine and become Izumiko's lifelong servant and protector. Too bad Izumiko and Miyuki cannot stand each other. They have known each other since they were children, and Miyuki bullied her terribly. He simply does not understand what is so special about Izumiko. His father calls Izumiko a goddess, but that cannot be true…can it? Will Izumiko and Miyuki work past their differences? Is she actually a literal goddess? Find out in RDG: Red Data Girl!"
animeRelated	['RDG: Red Data Girl']
animeCharacters	['Sagara, Miyuki', 'Suzuhara, Izumiko', 'Wamiya, Satoru', 'Souda, Masumi', 'Sagara, Yukimasa', 'Ricardo', 'Kanzaki, Mikoto', 'Himegami', 'Souda, Manatsu', 'Ogawa, Tomoya']
animeVoices	['Uchiyama, Kouki', 'Hayami, Saori', 'Kugimiya, Rie', 'Kimura, Ryouhei', 'Fukuyama, Jun', 'Hayashi, Kazuyoshi', 'Kobori, Yurie', 'Tanaka, Rie', 'Ishikawa, Kaito', 'Kanemoto, Ryousuke']
animeStaff	[['Shinohara, Toshiya', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Furukawa, Tomohiro', 'Episode Director, Storyboard, Key Animation'], ['Heo, Jong', 'Episode Director, Storyboard']]
