animeTitle	Hedler no Yama
animeType	Music
animeNumEpisode	1
releaseDate	1994-10-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17229
animeDescription	"A monster ""Hedler"" is born from the mountain. Who gets bigger and smellier as he eats the town's garbage. The song is meant to invoke children to pick up their trash, to not litter, and to respect the environment."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
