animeTitle	b'Mahou Shoujo Lyrical Nanoha StrikerS'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.63
animeUsers	23476
animeRank	
animePopularity	
animeDescription	"b""Set 10 years after Mahou Shoujo Lyrical Nanoha A's, Nanoha, Fate, Hayate and the rest of the crew are now working full time in the Time-Space Administration Bureau. Nanoha is a combat instructor, Fate is a special investigator, and Hayate is a commanding officer. They must unite once again to save the dimensions. Introducing new characters as well: Subaru, Teana, Caro and Erio. Stand by. Ready. Set up!"""
animeRelated	"[b'Mahou Shoujo Lyrical Nanoha StrikerS THE COMICS', b""Mahou Shoujo Lyrical Nanoha A's"", b'Mahou Shoujo Lyrical Nanoha ViVid', b""Mahou Shoujo Lyrical Nanoha A's Picture Drama"", b'Mahou Shoujo Lyrical Nanoha StrikerS Picture Drama']"
animeCharacters	[b'Testarossa, Fate', b'Takamachi, Nanoha', b'Yagami, Hayate', b'Vivio', b'Nakajima, Subaru', b'Lanster, Teana', b'Ru Lushe, Caro', b'Mondial, Erio', b'Vita', b'Signum']
animeVoices	[b'\nMizuki, Nana\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nUeda, Kana\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nTakahashi, Mikako\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nSanada, Asami\nJapanese\n', b'\nShimizu, Kaori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKusakawa, Keizou\n\nDirector, Episode Director, Storyboard\n\n', b'\nKameyama, Toshiki\n\nSound Director\n\n', b'\nUchiyama, Mana\n\nEpisode Director\n\n', b'\nTakeuchi, Nobuyuki\n\nStoryboard\n\n']
